company,city,state,jobtitle,industry,companysize,python,R,SAS,SQL,JAVA,Tableau,C,Perl,Excel,DeepLearning,MATLAB,StatisticalModeling,MachineLearning,HIVE
Smith Hanley Associates,Moline, IL,Data Scientist,Staffing & Outsourcing,1-50,1,1,1,1,0,0,0,0,0,0,0,0,1,0
AVL,Chelmsford, MA,Data Science Engineer,Transportation Equipment Manufacturing,5001-10000,1,1,0,0,0,1,1,0,0,0,1,0,0,0
Huawei Technologies,Santa Clara, CA,Data Scientist,Telecommunications Services,10000+,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Publishers Clearing House,Jericho, NY,Data Sciences Intern,Advertising & Marketing,501-1000,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Roblox,San Mateo, CA,"Director, Data Science",Computer Hardware & Software,201-500,1,1,0,1,0,0,0,0,0,0,0,0,1,1
Senior Whole Health,Cambridge, MA,Data Scientist,Insurance Carriers,201-500,1,1,1,1,0,0,0,0,0,1,0,0,1,0
Penn State University,University Park, PA,Research and Development Engineer (Operations Research/Data Science Engineer),Colleges & Universities,10000+,1,1,0,0,1,0,1,0,0,0,1,0,0,0
Zions Bank,West Valley City, UT,Intern - Data Engineer / Data Sciences Developer,Investment Banking & Asset Management,1001-5000,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Foursquare,New York, NY,Data Scientist,Internet,51-200,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Amazon,Cupertino, CA,Data Scientist,#N/A,10000+,1,0,0,1,1,0,1,1,0,0,0,1,1,0
Tumblr,New York, NY,"Director of Data Science, Analytics",Internet,51-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Progressive Leasing,Draper, UT,Project Manager - Data Science Team,Financial Transaction Processing,1001-5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolverine Trading,Chicago, IL,Experienced Data Analyst,Investment Banking & Asset Management,201-500,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NWEA,Portland, OR,Data Architect,K-12 Education,501-1000,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Caliber Home Loans,Coppell, TX,Data Scientist,Lending,1001-5000,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Nissan,San Jose, CA,Summer Intern - Data Scientist for Connected Car and Mobility Services,Transportation Equipment Manufacturing,10000+,1,1,0,1,0,1,0,0,0,0,0,0,1,0
Mathematica Policy Research,Cambridge, MA,"Statistical Assistant, Data Science",Consulting,1001-5000,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Slice Technologies,San Mateo, CA,Data Science Manager/Director,Computer Hardware & Software,51-200,1,1,1,1,0,0,0,0,0,0,0,0,1,0
About,New York, NY,Data Scientist,Internet,201-500,0,0,0,1,0,0,0,0,0,0,0,0,1,0
IBM,Los Angeles, CA,Entry Level Data Scientist,#N/A,10000+,1,1,1,0,1,0,0,0,0,0,0,0,1,0
Fabergent USA,Chicago, IL,Data Scientist,IT Services,51-200,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Cloutera,Seattle, WA,Data Scientist,Consulting,1-50,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Grindr,Los Angeles, CA,Data Scientist,Computer Hardware & Software,51-200,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Nielsen,Tampa, FL,Data Science Intern - Emerging Technologist Program - Summer,#N/A,10000+,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Intersys,Richmond, VA,Data Scientist,IT Services,51-200,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Code 42,Broomfield, CO,Data Science Intern,Enterprise Software & Network Solutions,501-1000,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Smith Hanley Associates,Irvine, CA,Senior Data Scientist,Staffing & Outsourcing,1-50,1,1,0,1,0,0,0,0,0,1,0,0,1,1
Sunovion,Field, NM,"Director, Medical Science Liaison, COPD",Biotech & Pharmaceuticals,1001-5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamin T,Framingham, MA,Data Scientist,Advertising & Marketing,51-200,1,1,0,0,1,0,1,0,0,0,0,0,1,0
Publishers Clearing House,Jericho, NY,Data Scientist,Advertising & Marketing,501-1000,0,0,1,1,0,0,0,0,0,0,0,0,1,0
TrueMotion,Boston, MA,Data Scientist,Computer Hardware & Software,1-50,1,1,0,0,0,0,0,0,0,1,0,0,1,0
Leidos,Hanover, MD,Software Developer - Data Science/Machine Learning,Aerospace & Defense,10000+,1,0,0,1,1,0,1,1,0,0,0,0,1,0
Wells Fargo,Minneapolis, MN,Data Scientist,#N/A,10000+,1,1,1,1,1,1,0,1,0,0,0,0,1,0
ACT,Iowa City, IA,Research Scientist - Computer Sciences,K-12 Education,1001-5000,1,1,0,0,1,0,1,0,0,1,1,0,1,0
Verticalmove,Cupertino, CA,Data Scientist - Data Science/AI/Machine Learning,Advertising & Marketing,1-50,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Alimera Sciences,Great Lakes, IL,Medical Science Liaison,Biotech & Pharmaceuticals,51-200,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Amazon Web Services, Inc.",Palo Alto, CA,Data Scientist,#N/A,10000+,1,1,0,0,0,0,0,0,0,1,1,0,1,0
LearnVest,New York, NY,Data Scientist,Internet,201-500,1,1,0,0,1,0,0,1,0,0,0,0,1,1
Signature Science,Arlington, VA,Data Scientist,Consulting,51-200,1,1,1,0,0,0,1,0,0,0,0,0,0,0
HUB International,Chicago, IL,Data Scientist,Insurance Agencies & Brokerages,10000+,1,1,1,0,0,0,0,0,0,0,0,0,0,0
San Diego,San Diego, CA,Math/Computer Science/Statistics,Colleges & Universities,1001-5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intent Media,New York, NY,Data Scientist,Internet,51-200,1,0,0,0,1,0,1,0,0,0,0,0,1,0
"Amazon Web Services, Inc.",Chicago, IL,Principal Data Scientist - AWS Professional Services,#N/A,10000+,1,0,0,0,1,0,1,0,0,1,0,0,1,0
Toptal,Remote,#N/A,Data Scientist,Consulting,501-1000,1,1,0,0,0,0,0,0,0,0,1,0,1,0
Pitney Bowes,Danbury, CT,Senior Data Scientist,Computer Hardware & Software,10000+,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LoyaltyOne,Chicago, IL,"Advisor, Data Science",Advertising & Marketing,1001-5000,1,1,1,0,0,0,1,0,1,0,0,0,0,0
Nauto,Palo Alto, CA,VP of Data Science,Enterprise Software & Network Solutions,1-50,1,0,0,1,0,0,0,0,0,1,0,0,1,0
FMI Corporation,Scottsdale, AZ,Data Analyst,Consulting,51-200,0,1,1,1,0,1,0,0,1,0,0,1,0,0
Payette Group,San Francisco, CA,Data Science Engineer,Advertising & Marketing,1-50,1,0,0,0,0,0,0,0,0,0,0,0,0,0
National Oilwell Varco,Houston, TX,Data Analyst,Oil & Gas Services,10000+,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Amazon Web Services, Inc.",Houston, TX,Data Scientist - AWS Professional Services,#N/A,10000+,1,0,0,0,1,0,1,0,0,1,0,0,1,0
Becton Dickinson and Company,San Diego, CA,Data Scientist,Health Care Products Manufacturing,10000+,0,1,0,1,0,0,1,0,0,0,0,0,1,0
Collective Health,San Francisco, CA,Data Scientist,Enterprise Software & Network Solutions,201-500,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"MINDBODY, Inc",San Luis Obispo, CA,"Senior Director, Data Science",Computer Hardware & Software,1001-5000,1,1,0,1,0,1,0,0,0,0,0,0,1,0
Grand Rounds,San Francisco, CA,Senior Data Scientist,Health Care Services & Hospitals,201-500,1,1,0,1,1,1,0,0,0,0,0,0,1,1
Analysis Group,Boston, MA,Data Scientist,Consulting,201-500,1,1,1,0,1,0,1,0,0,0,0,0,0,0
Financial Recovery Technologies,Medford, MA,Data Analyst - Case Specialist,Financial Transaction Processing,51-200,0,0,0,1,0,0,0,0,1,0,0,0,0,0
C.H. Robinson Worldwide,Eden Prairie, MN,Senior Data Architect,Logistics & Supply Chain,10000+,1,1,0,0,0,0,1,0,0,0,0,0,1,0
LexisNexis Legal & Professional,Raleigh, NC,Data Scientist,Consulting,201-500,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Accenture,Austin, TX,Data Science Senior Analyst,#N/A,10000+,0,1,1,0,1,0,1,0,0,0,0,1,1,0
Wish,San Francisco, CA,Software Engineer - Data Science,General Merchandise & Superstores,201-500,1,0,0,0,1,0,0,0,0,0,0,1,1,0
Predictive Science,Austin, TX,Data Science Apprentice,#N/A,1-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
